supplier_gstin,supplier_name,invoice_no,invoice_date,invoice_value,taxable_value,igst,cgst,sgst,cess,itc_eligibility,itc_eligible_amount,itc_reason,supply_type,hsn_code,place_of_supply
27AABFM1234C1Z5,Mehta Steel Industries,INV-MSI-2026-041,2026-05-03,105610,89500,0,8055,8055,0,Yes,16110,,B2B,7213,27
27AACFS5678D1Z3,Sharma Packaging Pvt Ltd,INV-SPL-0512,2026-05-05,15045,12750,0,1147.5,1147.5,0,Yes,2295,,B2B,4819,27
29AABFT9012E1Z1,TechNova Solutions LLP,TECHNS-INV-2600,2026-05-08,53100,45000,8100,0,0,0,Yes,8100,,B2B,9983,29
27AABFG3456F1Z7,Gupta Metal Works,GMW-INV-0334,2026-05-12,79944,67800,0,6102,6102,0,Yes,12204,,B2B,7606,27
07AABFR7890G1Z9,Ravi Electricals,RE-INV-2026-19,2026-05-15,10030,8500,1530,0,0,0,No,0,Supplier return not filed for previous period,B2B,8504,07
27AABFS2345H1Z2,Speedway Logistics Pvt Ltd,SWL-MAY-001,2026-05-17,27848,23600,0,2124,2124,0,Yes,4248,,B2B,9965,27
27AABFK6789I1Z4,Kumar Electrical Stores,KES-2026-055,2026-05-19,36816,31200,0,2808,2808,0,Yes,5616,,B2B,8544,27
27AABFP1234J1Z6,Pixel Ad Agency,PAA-INV-0209,2026-05-21,21240,18000,0,1620,1620,0,Yes,3240,,B2B,9983,27
27AABFP9012K1Z8,Patel Polymer Industries,PPI-INV-MAY26-3,2026-05-26,63720,54000,0,4860,4860,0,Yes,9720,,B2B,3902,27
33AABFD4567L1Z0,Desai & Associates Advocates,DA-INV-2605,2026-05-28,17700,15000,2700,0,0,0,Yes,2700,,B2B,9982,33
27AABFA8901M1Z2,Amazon Web Services India Pvt Ltd,AWS-IN-2026-05,2026-05-30,8496,7200,1296,0,0,0,Yes,1296,,B2B,9983,27
27AABFV3456N1Z4,Vishwas Trading Company,VTC-MAY-2026-12,2026-05-22,29500,25000,0,2250,2250,0,Yes,4500,,B2B,8302,27
